Sector,Date,TOTAL_SCORE,Bull_Prob_Raw,Volume_Z,Open,High,Low,Close,Volume_Metric,Fit_Type,ACTION,Position_Size,Market_Score,Market_Regime,Market_Source,Strategy,Threshold_Buy,Threshold_Sell,Excess_Prob,Rotation_Status,Dispersion
软件,2025-07-04,1.0,1.0,-0.157834,135.942,135.993,135.993,135.993,-0.157834,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.167982088833469,MODERATE ROTATION,0.3122548443625004
光模块中游,2025-07-04,0.9422034382877613,0.953033501296707,0.662282,197.085,192.5,192.5,192.5,0.662282,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.11018552712123031,MODERATE ROTATION,0.3122548443625004
液冷,2025-07-04,0.9718965,1.0,-0.56207,166.417,165.601,165.601,165.601,-0.56207,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.13987858883346904,MODERATE ROTATION,0.3122548443625004
军工电子,2025-07-04,0.832017911166531,0.8800127886585436,0.679059,145.909,147.207,147.207,147.207,0.679059,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.0,MODERATE ROTATION,0.3122548443625004
风电设备,2025-07-04,0.23174181439723576,0.33174181439723577,1.16778,114.278,110.875,110.875,110.875,1.16778,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.6002760967692953,MODERATE ROTATION,0.3122548443625004
家用电器,2025-07-04,0.944521233918969,0.9921636619590039,-0.903683,145.572,146.368,146.368,146.368,-0.903683,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.11250332275243802,MODERATE ROTATION,0.3122548443625004
电力,2025-07-04,0.7195666360488099,0.7184811520964097,-0.108731,125.814,126.245,126.245,126.245,-0.108731,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.11245127511772113,MODERATE ROTATION,0.3122548443625004
白酒,2025-07-04,0.7410481901669687,0.7273881363444534,-0.382023,87.0265,87.4344,87.4344,87.4344,-0.382023,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.09096972099956235,MODERATE ROTATION,0.3122548443625004
电网设备,2025-07-04,0.42771437383820377,0.5277143738382037,-0.0534228,121.897,120.916,120.916,120.916,-0.0534228,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.40430353732832724,MODERATE ROTATION,0.3122548443625004
电池,2025-07-04,1.0,0.9999059381493396,1.00327,169.46,170.457,170.457,170.457,1.00327,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.167982088833469,MODERATE ROTATION,0.3122548443625004
