index,Sector,RS_Score,Reversal_Score,Trend_Score,ATR_Score,Contra_Vol_Score,LT_Filter,TOTAL_SCORE,ACTION,Open,High,Low,Close,Volume_Metric,Date
4,软件,0.0,0.0,0.2,0.0,0.0,-3.0,-2.7548283821453343,RED (EXIT/AVOID),130.2950888493965,135.67400437437607,128.64073722806,133.47072435889856,0.7858243186546012,2025-07-11
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),186.92541030606827,191.82586925018506,183.76122010598445,186.22260838372364,0.2774709635557147,2025-07-11
6,军工电子,0.0,0.0,0.9,0.9,0.0,0.0,1.7951343017715162,RED (EXIT/AVOID),171.06720098335703,173.97205460269274,169.49155564295208,171.17337853214198,0.12262116629409842,2025-07-11
7,家用电器,0.0,0.0,-0.1,0.9,2.0,-3.0,-0.16241717751302875,RED (EXIT/AVOID),136.5228614155764,138.51114567484657,136.2274735905751,137.08218403767296,0.6494210143483671,2025-07-11
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.8046977322987097,RED (EXIT/AVOID),123.96525567045823,125.37312794603754,123.45773160153804,124.18986272575884,0.7594275701952853,2025-07-11
9,白酒,0.0,0.0,-0.0,0.8,0.0,-3.0,-2.2006057797889316,RED (EXIT/AVOID),78.18120847379163,79.81000868539255,77.88066277220793,78.7289522989668,1.3514109023817042,2025-07-11
10,电网设备,0.0,0.0,0.3,0.0,0.0,0.0,0.3330851010869376,RED (EXIT/AVOID),122.48925521897281,123.25052544723893,121.82935744707834,122.27409649199281,0.04444746888951139,2025-07-11
11,电池,2.0,0.0,0.6,0.9,0.0,0.0,3.449188242385242,YELLOW (WATCH/HOLD),139.49899405572944,141.95014651719225,138.633684669982,139.74995656037018,0.17717030016616264,2025-07-11
12,整车,0.0,0.0,-0.0,0.9,2.0,-3.0,-0.07501803784808603,RED (EXIT/AVOID),110.8568808190573,112.32873882994505,110.30505373263404,110.93441453984865,0.21248330971929258,2025-07-11
13,能源,0.0,0.0,0.1,0.0,0.0,0.0,0.10170256698343483,RED (EXIT/AVOID),121.14645563003099,122.51353406738879,119.81827728618,120.19749674459372,1.4122463995380818,2025-07-11
0,MARKET_PROXY,2.0,0.0,0.7,0.0,0.0,0.0,2.7303807096261212,RED (EXIT/AVOID),178.24467305363683,180.2758722857118,176.54021339860734,178.46304365908,-0.050598135717606234,2025-07-14
1,银行,2.0,0.0,0.7,0.0,0.0,0.0,2.6634939933489603,RED (EXIT/AVOID),177.6419107836025,180.30950238549784,176.97648428128224,177.63005298653488,0.5586536564204545,2025-07-14
2,非银金融,0.0,0.0,0.4,0.0,0.0,0.0,0.4035289998761894,RED (EXIT/AVOID),153.8288448108234,154.87636736128937,152.61891639585187,152.67251885073998,0.026581808328605433,2025-07-14
3,半导体,0.0,0.0,0.1,0.8,2.0,-3.0,-0.09892172493908191,RED (EXIT/AVOID),213.92968800997016,215.61279712543794,211.17991788539902,212.14038439313748,-0.46553657399515835,2025-07-14
4,软件,0.0,0.0,0.2,0.0,2.0,-3.0,-0.777033970257758,RED (EXIT/AVOID),132.97128612130436,133.2017810363802,129.89616610833306,130.45603149761996,-0.12285338557618435,2025-07-14
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),185.94890141573288,190.89842079159345,184.62118582596784,187.93396787210852,-0.1624562692425872,2025-07-14
6,军工电子,0.0,0.0,0.8,0.9,0.0,0.0,1.7185769254458143,RED (EXIT/AVOID),172.42248111430658,173.1085765916677,168.16011682112782,169.36395695499283,0.16280244723704232,2025-07-14
